,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
1f.2,127.896484375,355.0416666666667,1542.1458333333333,577.1875,456.0625,770.0390625,145.80208333333334,2791.9407552083335,7450.093098958333,504.2122395833333,283.1614583333333,244.05208333333334,250.28352864583334
1af.2,162.29166666666666,1244.6666666666667,2717.6666666666665,1838.5,2561.9895833333335,1171.6106770833333,875.1666666666666,14835.173177083334,6106.994791666667,584.8671875,263.671875,306.7473958333333,247.22005208333334
2f.1,120.1875,414.3541666666667,1488.875,688.0,777.3333333333334,845.41796875,338.7994791666667,4977.361979166667,7264.9404296875,444.068359375,296.5843098958333,264.6917317708333,309.5716145833333
2f.1b,202.09895833333334,506.5625,2387.8333333333335,853.1875,608.5625,752.6526692708334,277.09375,4483.032552083333,7188.289713541667,602.0833333333334,330.9609375,264.1223958333333,294.8450520833333
3f.1,232.68359375,693.765625,3285.4166666666665,1122.875,2430.3072916666665,864.2174479166666,377.1484375,9133.303385416666,6645.406575520833,468.2916666666667,243.91145833333334,319.9088541666667,308.8678385416667
3,191.66276041666666,562.890625,1336.3541666666667,769.0,1261.5859375,915.3430989583334,270.0833333333333,10692.015625,6847.451171875,529.4690755208334,291.6842447916667,314.7630208333333,322.2838541666667
4f.1,185.30078125,658.9375,1133.1666666666667,234.5,1245.1302083333333,813.2083333333334,226.9375,5241.881510416667,7309.278971354167,439.234375,254.04036458333334,283.4895833333333,332.3899739583333
4f.1b,207.99609375,772.3697916666666,2003.6666666666667,773.6875,3402.046875,1139.2447916666667,572.875,10665.273111979166,6538.664388020833,546.431640625,256.2174479166667,453.8333333333333,307.490234375
7f.1,131.875,387.8190104166667,1034.0416666666667,405.125,866.1875,741.0520833333334,219.45833333333334,3006.95703125,7465.127604166667,444.7291666666667,204.51041666666666,221.1796875,247.36263020833334
7,160.61588541666666,317.9166666666667,839.6458333333334,205.5,260.5,694.4856770833334,170.63541666666666,2107.4508463541665,7477.606119791667,499.0364583333333,368.7447916666667,351.3697916666667,255.9375
8,184.29166666666666,589.1803385416666,3401.8333333333335,1219.5,2180.2760416666665,951.904296875,781.0260416666666,9208.122395833334,6738.4599609375,528.05859375,278.6119791666667,333.3333333333333,347.28125
9,219.45833333333334,819.5260416666666,4372.333333333333,791.8125,12869.604166666666,1020.8645833333334,641.1666666666666,19357.205729166668,5045.504557291667,553.0234375,339.0625,595.0423177083334,4276.817708333333
10,204.71809895833334,623.203125,1177.9166666666667,603.0625,1451.3489583333333,926.841796875,348.5520833333333,6228.80078125,7158.202799479167,385.79296875,330.4713541666667,322.349609375,367.9791666666667
11,184.29166666666666,745.0227864583334,1359.0,697.875,2964.9739583333335,1211.6041666666667,584.7604166666666,15313.5234375,6432.616861979167,517.1549479166666,257.5833333333333,283.7708333333333,348.0104166666667
12f.2,225.443359375,1035.0794270833333,2317.75,917.75,2194.6640625,982.7708333333334,467.9583333333333,9225.420572916666,6919.463541666667,480.3333333333333,277.2786458333333,353.916015625,322.5237630208333
12f.1,272.8854166666667,1230.7037760416667,1777.5,1181.75,2859.6770833333335,1113.53515625,559.74609375,12487.033203125,6587.131510416667,516.8522135416666,320.4576822916667,313.9329427083333,252.96940104166666
13,191.875,416.0416666666667,1354.2916666666667,407.25,818.25,749.7356770833334,292.6516927083333,3917.3014322916665,7456.703125,446.8567708333333,230.48893229166666,294.40625,206.37760416666666
13b,173.4375,674.8072916666666,2139.5833333333335,677.0625,2415.3645833333335,968.5364583333334,490.1979166666667,7457.631184895833,6934.0537109375,431.16015625,273.21484375,331.6608072916667,302.4479166666667
14,125.8125,333.9583333333333,981.8333333333334,251.5,460.4583333333333,713.2067057291666,148.52604166666666,2319.2135416666665,7432.966145833333,352.125,224.078125,330.0257161458333,271.1712239583333
14b,170.0,490.1041666666667,1176.75,314.25,703.6608072916666,709.1028645833334,126.1875,2231.9983723958335,7436.54296875,363.1119791666667,311.5774739583333,343.09375,197.61263020833334
15,248.11197916666666,950.7239583333334,2888.0,789.875,1608.2291666666667,878.21875,443.0572916666667,7571.8369140625,6932.4755859375,426.79296875,257.1741536458333,334.5182291666667,250.82356770833334
15b,239.95833333333334,1137.703125,3145.1666666666665,860.5625,3844.5260416666665,1201.5364583333333,562.1640625,15299.365885416666,6108.637369791667,608.0182291666666,306.4713541666667,304.7838541666667,490.0475260416667
16,166.77083333333334,777.1484375,2156.3333333333335,874.5,1870.7109375,916.265625,280.5,6954.471354166667,7008.259765625,399.3333333333333,288.28125,363.7408854166667,304.9830729166667
16b,127.87044270833333,414.2708333333333,1288.0833333333333,233.5,386.875,709.265625,234.158203125,2303.7213541666665,7527.4736328125,330.31640625,370.7760416666667,335.1223958333333,253.11979166666666
17,176.28125,659.4635416666666,1574.0052083333333,547.75,1290.8072916666667,891.8860677083334,195.90885416666666,6653.052408854167,7188.465169270833,393.26953125,321.09375,361.6901041666667,247.49283854166666
18,166.76171875,575.4583333333334,1344.625,437.0,955.125,803.4973958333334,217.59895833333334,4834.279296875,7266.220377604167,467.81640625,279.9388020833333,318.1184895833333,234.18489583333334
18b,332.6875,2126.3284505208335,1816.8541666666667,1375.3125,8040.96875,1266.8447265625,483.5416666666667,19473.94140625,5681.452799479167,726.1354166666666,268.5729166666667,366.5677083333333,1986.2076822916667
19f.1,167.18229166666666,418.529296875,1925.1041666666667,640.6875,2703.9947916666665,753.9270833333334,196.96614583333334,4716.676432291667,7023.932942708333,534.9694010416666,398.203125,269.6953125,694.7395833333334
20f.1,191.39583333333334,574.4427083333334,1834.5,303.25,2296.6145833333335,731.9622395833334,204.17708333333334,3737.2005208333335,7212.296223958333,422.875,177.72395833333334,313.1067708333333,379.2083333333333
21f.1,231.29166666666666,739.4964192708334,1670.0,1155.1875,9054.802083333334,925.0221354166666,374.2447916666667,13564.623372395834,5712.660481770833,675.1067708333334,230.89453125,348.9375,2074.8287760416665
22f.7,192.67708333333334,371.5260416666667,1512.5,509.5,1225.875,699.4563802083334,173.125,2822.6630859375,7371.302734375,428.4869791666667,306.0494791666667,281.7552083333333,440.2239583333333
23f.1,229.89583333333334,958.3326822916666,2090.3333333333335,694.875,4193.192708333333,913.7317708333334,171.41341145833334,6558.8271484375,6891.333658854167,472.2340494791667,195.08203125,332.3177083333333,705.0052083333334
24f.11,228.60416666666666,787.3763020833334,2162.2916666666665,452.4375,3144.2552083333335,721.8125,228.734375,4779.547526041667,7144.2646484375,430.5859375,242.73697916666666,237.087890625,663.7532552083334
25f.7,168.58072916666666,520.0416666666666,1740.1666666666667,449.9375,1513.2708333333333,836.6171875,188.33854166666666,4713.467447916667,7273.020182291667,520.6484375,250.693359375,327.1770833333333,412.6057942708333
26f.1,221.8671875,508.3313802083333,1295.3333333333333,376.0,2163.9895833333335,774.6510416666666,190.95833333333334,4576.2548828125,7109.494466145833,405.8391927083333,251.91927083333334,260.71875,500.9446614583333
27f.2,279.5,1029.4830729166667,4022.5833333333335,693.0625,5505.708333333333,801.3255208333334,281.0052083333333,7244.589518229167,6581.107421875,483.0963541666667,236.65625,290.703125,1057.76953125
28f.1,275.8190104166667,1329.6875,2129.8333333333335,844.0625,1083.7916666666667,846.34765625,208.52994791666666,4916.541666666667,7268.15625,371.875,284.7884114583333,274.6041666666667,345.359375
29,214.91666666666666,1080.8125,1826.3333333333333,543.0,1431.9166666666667,826.0514322916666,182.875,10122.2255859375,6904.634765625,494.46875,415.9270833333333,367.2395833333333,200.95638020833334
30,157.33333333333334,374.3541666666667,1192.2291666666667,440.0,553.2109375,733.2825520833334,328.328125,2469.8095703125,7323.223958333333,393.875,278.9869791666667,276.0,258.1796875
31,185.6484375,513.8753255208334,1726.0,520.4375,3606.1979166666665,766.96875,262.8177083333333,4576.098958333333,7050.819010416667,460.1829427083333,326.3645833333333,290.0130208333333,589.529296875
32,149.66666666666666,662.1979166666666,1607.7083333333333,554.25,4754.411458333333,691.65625,236.89583333333334,4142.462239583333,6903.646809895833,418.8268229166667,316.1686197916667,267.1712239583333,971.2734375
33,210.16145833333334,723.7906901041666,1720.8333333333333,564.5,3375.5833333333335,868.0052083333334,190.91666666666666,6982.826171875,6846.1416015625,487.3502604166667,248.82682291666666,338.625,485.9811197916667
34,207.25,702.458984375,1534.9166666666667,673.875,4242.609375,851.6627604166666,223.5625,7761.217122395833,6630.2265625,578.51171875,305.7395833333333,276.7093098958333,890.8333333333334
35,239.8125,854.9443359375,3026.6666666666665,1279.9375,5232.723958333333,832.546875,184.66145833333334,5602.9892578125,6495.931315104167,488.7057291666667,294.375,301.3863932291667,902.841796875
37,155.64453125,461.4583333333333,1008.5833333333334,346.625,617.46875,754.1822916666666,192.82291666666666,3177.3001302083335,7455.722005208333,435.6236979166667,318.48046875,348.7109375,237.91145833333334
38,133.5625,481.5598958333333,1012.4375,308.0625,894.0729166666666,738.51953125,179.66666666666666,3128.2819010416665,7542.842122395833,415.8776041666667,258.1302083333333,351.3929036458333,271.5481770833333
40,138.44856770833334,515.8489583333334,1494.3958333333333,757.75,1217.99609375,828.51953125,212.33072916666666,5580.237630208333,7153.35546875,444.3268229166667,432.0833333333333,287.0768229166667,285.974609375
41,227.8125,722.3098958333334,3305.3333333333335,1669.5,3481.8229166666665,1135.91015625,314.9791666666667,13780.735026041666,5974.052734375,562.431640625,240.71875,475.064453125,439.96875
42,157.4375,686.6380208333334,1870.1666666666667,608.0,4380.34375,789.5833333333334,239.04166666666666,6036.462890625,6790.584635416667,562.484375,356.7916666666667,482.984375,845.9925130208334
43f.2,341.2330729166667,1478.2239583333333,2270.3333333333335,1553.0625,2461.3645833333335,1268.7018229166667,506.85546875,18683.033203125,6269.897135416667,570.3059895833334,265.830078125,244.27083333333334,331.3385416666667
