,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
1f.2,0.013462913766977053,0.037373156622524606,0.1623326588821229,0.060757147296505346,0.04800702802626957,0.08105750166865254,0.01534773128874184,0.2938912497365398,0.7842276622173721,0.05307546907905217,0.029806748123706067,0.02568993329741605,0.02634588104528253
1af.2,0.017653031951435468,0.13538674466066244,0.2956101042363099,0.19998007235561965,0.2786765636384791,0.1274401892715483,0.09519493789677806,1.6136736499109452,0.6642791734092426,0.06361804866721664,0.028680511634833778,0.03336598662695017,0.026890989340976373
2f.1,0.012770179892286194,0.044026019739587474,0.15819616505150372,0.07310147699130859,0.08259333543785448,0.08982747411426885,0.0359981719926881,0.528855395635852,0.7719155169535296,0.04718321650497052,0.0315127196305718,0.028124064738132556,0.03289264863463051
2f.1b,0.021746967534371775,0.05450893132987137,0.2569440951389898,0.0918077016143213,0.06548469640455984,0.08098959687013595,0.02981682258494568,0.4823991383710567,0.7734997959277748,0.06478750217698058,0.03561323038135936,0.02842103301598573,0.03172696103040151
3f.1,0.024891824940828273,0.0742170610705737,0.35146447244670087,0.12012195393742729,0.2599873187517551,0.09245150926912328,0.0403462604804165,0.9770546575171498,0.7109065769210198,0.05009650229332241,0.026092949760861527,0.034222933669717,0.033041797416502115
3,0.020592219542715406,0.06047688817242111,0.14357770036807596,0.08262124991794247,0.13554461252945285,0.09834433152106685,0.029017714671006885,1.1487486281920296,0.735689173696219,0.05688608168066154,0.03133851350592796,0.03381809390012661,0.03462613115685551
4f.1,0.019519216987401274,0.06941117008180842,0.11936553046538693,0.02470176516617141,0.13115954800663576,0.08566175386427993,0.0239051464068146,0.5521694076725304,0.7699449581425397,0.04626807839727109,0.026760108437808395,0.02986223076569629,0.035013300982126135
4f.1b,0.022759270749031276,0.0845139583632904,0.21924446433252145,0.08465814415152273,0.3722575002878907,0.12465801734781568,0.06268491391007815,1.1670115240704957,0.7154712882391093,0.059791438534271664,0.028035729722742625,0.04965918119925603,0.03364608137898604
7f.1,0.014045948892050892,0.04130643412078296,0.1101353281687289,0.04314968754420563,0.09225725388385464,0.07892913508131062,0.023374411631732084,0.3202696855471513,0.7951074942237977,0.04736791011036499,0.021782315529039115,0.02355775231533488,0.026346486155143387
7,0.017283088243922263,0.03420945437594595,0.09035017298255239,0.022112847835146186,0.028031128277642734,0.07473020000502299,0.018361240895556047,0.22677245686364836,0.8046285464628276,0.053698867480852897,0.039678819796241764,0.03780918120190762,0.027540180013662905
8,0.020065567946298633,0.06414960768147072,0.3703896064679189,0.1327784405725228,0.23738716919240077,0.10364277828072677,0.08503765466095138,1.0025749342514743,0.7336795452838575,0.05749470816649802,0.030335107928310137,0.03629313668785645,0.03781177762613894
9,0.025659337522503146,0.09581999002820267,0.5112185764688418,0.09257968874290651,1.5047299051156842,0.11936073928317241,0.07496599312631069,2.2632682375419138,0.5899265816907143,0.06466017865502528,0.039643603396500735,0.06957307766964425,0.5000507724336894
10,0.022017142376615128,0.06702461581312928,0.12668327368097715,0.06485852004321269,0.15609053042389198,0.09968052608063749,0.037486284229210964,0.6698987257802997,0.7698546000512397,0.04149148885265192,0.03554172734654599,0.03466824516624764,0.039575639600762276
11,0.019718278660141742,0.07971367982748735,0.14540614442215305,0.0746691045170052,0.3172372565072403,0.1296355338048681,0.06256641471537287,1.638469757590251,0.6882575544115671,0.055332970600001384,0.027560117268142944,0.030362047663326997,0.03723535901857763
12f.2,0.02419489818772505,0.11108617891393602,0.24874418758691696,0.09849421989338498,0.23553443177770048,0.10547234711319918,0.050221946046608866,0.9900851021714102,0.7426065525657064,0.05155004843961419,0.02975793398468902,0.03798276422419987,0.0346137035530547
12f.1,0.029645283830224536,0.13369920312103267,0.19310116550710063,0.12838104210296267,0.31066496639415625,0.12097042841350569,0.06080878936212197,1.3565460845284394,0.7156021220872048,0.05614895349075707,0.03481336255765119,0.03410453846866555,0.02748167998806132
13,0.020487708539266767,0.04442340277189547,0.1446062954727009,0.04348466086054145,0.08736973296289269,0.08005402493067446,0.031248274052020297,0.4182750749458967,0.7961994021568192,0.047713726538794826,0.024610762560617377,0.03143561924241567,0.022036243404293596
13b,0.018475022795570544,0.07188226361749268,0.22791409502763904,0.07212249439438403,0.25729104568906425,0.10317107399524034,0.05221718304725251,0.7944066660434353,0.7386338039655832,0.045928324124024554,0.029103570256544833,0.035329389406044666,0.032217554766930376
14,0.013428183265433739,0.03564394398822699,0.104792750609929,0.026843025067116423,0.049145505304291515,0.07612177129194254,0.01585243840786446,0.24753362717675623,0.793333187179451,0.0375829033867132,0.023916241456729413,0.035224209030996635,0.028942568438147843
14b,0.01806518930657298,0.052081320886903114,0.12504830303829267,0.0333940337622974,0.07477509230199957,0.07535339697959471,0.013409418091901047,0.23718513605466765,0.7902503324525468,0.03858639201841304,0.033110035592477084,0.036459138492070726,0.020999468082843198
15,0.02651200242037677,0.10158959663737928,0.30859720375941724,0.08440208321311278,0.17184730742301632,0.09384205351076548,0.04734288134125827,0.8090885384356034,0.740769591741946,0.04560495732009361,0.027480340960629818,0.03574494117984254,0.02680174917996971
15b,0.02585579321650912,0.122588852544301,0.33889541502951454,0.09272662357999151,0.41425221190686295,0.12946696944093097,0.06057384026568241,1.6485247050267642,0.6582128758519472,0.06551468076486079,0.03302264959937571,0.03284081948559405,0.052803198470269985
16,0.01800575824373566,0.08390643978586532,0.23281299203742856,0.09441720275316028,0.2019751788204597,0.09892651491295153,0.030284763147240087,0.7508538958117774,0.7566612729992351,0.04311484997075891,0.03112488191101714,0.039272037653515675,0.032928128795717305
16b,0.013525372425653027,0.04381909679236457,0.13624576899564078,0.024698236703486153,0.04092132901353835,0.07502188561839848,0.02476785750254493,0.243673898518561,0.7962112443788177,0.03493889845228005,0.03921847726366157,0.035447247353023764,0.02677350119452006
17,0.019072618844100744,0.07135016782436635,0.17029832382724222,0.059263404201275974,0.13965793568598084,0.09649695030960392,0.021196212891078037,0.7198220613020488,0.7777506470347625,0.042549504683733606,0.03474049966728153,0.03913279203802972,0.02677730374699393
18,0.01802005565375148,0.06218328325475919,0.14529843848485513,0.047221654824119504,0.10320957222857469,0.0868248894236169,0.02351346201488473,0.5223859686050765,0.7851783765382315,0.05055163582836971,0.03024982490585051,0.03437547255898037,0.025305716970398278
18b,0.03780452930380351,0.2416226825992138,0.20645595817242154,0.15628192134702162,0.9137254592984204,0.1439563211383084,0.05494665446435464,2.2128970537009374,0.6456048058495933,0.08251349280602537,0.03051894855782972,0.04165446453959224,0.22570023378887075
19f.1,0.018254041764814224,0.04569773023680737,0.2101952994520276,0.06995439688380721,0.2952396056236427,0.08231862555294302,0.021506035217323343,0.5149971789944879,0.7669183381281305,0.0584114124298685,0.04347838758618249,0.029447075100306173,0.07585615224800053
20f.1,0.020840000517483956,0.0625477897320904,0.19974824051023918,0.03301916267905698,0.2500652614614278,0.0796991929554129,0.02223167792223811,0.4069224466995954,0.7853057949164998,0.0460444465553379,0.0193513480368484,0.03409241022938184,0.04128983230861467
21f.1,0.025841169663815083,0.08262058340260713,0.18658153127827573,0.12906386387037314,1.0116519988802724,0.10334853083373785,0.041812674432386794,1.5155138922363491,0.6382496648872422,0.07542661980743433,0.02579679952359562,0.038985205431385235,0.23181121567310467
22f.7,0.020838475585861205,0.04018140722728652,0.16358039979818606,0.055103612361769125,0.1325812380843645,0.07564783756421237,0.01872387220830477,0.30527759080544653,0.7972235691388594,0.046341865362248165,0.03309996440337848,0.0304724823962895,0.04761124701150854
23f.1,0.025230519110857132,0.10517472502453155,0.22940909519773092,0.07626087307870673,0.4601928935776461,0.100279881422562,0.018812212865928536,0.7198156282959786,0.75630742435819,0.051826560044287734,0.021409787407940348,0.03647107548410148,0.07737263926970395
24f.11,0.02413729945058732,0.08313556949026818,0.22830678118804862,0.04777086778168274,0.3319879537597104,0.07621297858967453,0.024151047570660788,0.5046512124278056,0.7543311991553706,0.04546365827095324,0.025629520403361597,0.025033058213974158,0.07008276058951528
25f.7,0.017830130172551303,0.05500279099309191,0.18405068207960026,0.04758814506360892,0.16005278941451875,0.08848575653609336,0.019919837403865843,0.49852517886163494,0.7692391487383275,0.055066966791812916,0.02651486473659329,0.0346042517086376,0.04363971527566828
26f.1,0.023843234448641993,0.05462846675292652,0.13920461472387666,0.040407309677954924,0.23255584370643256,0.08324884184301957,0.020521575826026973,0.4917929473804734,0.7640307035831423,0.043614015795789496,0.02707281912342313,0.028018466143881145,0.05383464379538608
27f.2,0.030337717622255095,0.11174299378546433,0.436622530513976,0.07522695677844068,0.5976050974138225,0.0869781301414961,0.030501097176385078,0.7863481613351898,0.7143319449251196,0.052436639631661085,0.025687336264908073,0.03155373637981082,0.1148132856833189
28f.1,0.029870834436032685,0.14400339956321648,0.2306581362185154,0.09141085363578089,0.11737320567297527,0.09165833303867303,0.022583517864716688,0.5324549671213742,0.7871317197135711,0.040273571205693914,0.030842208719122407,0.02973926846287123,0.03740196404871649
29,0.02301771735019574,0.11575573462687133,0.1956015096730864,0.05815565965640769,0.1533592234309474,0.08847065553414783,0.01958603362737672,1.084097064716691,0.7394909566878228,0.05295793063670229,0.04454606611457763,0.03933160261637993,0.021522561423903307
30,0.01685225445729906,0.04009774368951361,0.1277017963225441,0.04712918619414144,0.059255411995620545,0.07854320438647872,0.035167812127041696,0.26454571614393246,0.7844036033492937,0.042188655027766954,0.02988279383383385,0.029562853158143266,0.027654087644847166
31,0.020037736063842262,0.055464502051128135,0.18629368990079298,0.05617278229301503,0.3892305425309303,0.08278182993980232,0.028366906521834906,0.4939156201037611,0.7610214891501613,0.04966928066427615,0.03522576041836704,0.03130219917167857,0.06363012052112617
32,0.016182635822271457,0.07159982891548014,0.17383268463316928,0.059928012724903924,0.5140684354973911,0.0747849969350642,0.02561424720699453,0.447901722699475,0.7464534666155704,0.04528544731309172,0.034185578836428164,0.028887759150389093,0.1050184698635294
33,0.02265116073621044,0.07801001853974014,0.18547107896319615,0.060841699220178735,0.3638197092281931,0.09355343101322454,0.02057696086705484,0.7526076344659182,0.737875798301184,0.05252651542807194,0.02681850614315059,0.03649693604682555,0.05237894972019527
34,0.0221805494607942,0.07517937875565234,0.16427162867646494,0.07212023048440382,0.45405745276244475,0.09114763802817079,0.02392636472293753,0.8306299650627919,0.7095877838639458,0.06191415098375603,0.03272121568273877,0.02961430414671537,0.09533979643582229
35,0.025938192021713175,0.09247103613624368,0.3273651756506377,0.1384384243973584,0.5659729948516823,0.09004852003472395,0.019973038791804378,0.6060210008433122,0.7026018819328921,0.052858558437263926,0.03183968840820148,0.03259804280556552,0.09765163989605345
37,0.0163840901691724,0.04857591128920147,0.10616961703534183,0.03648785607357716,0.06499851678306987,0.07938981582855802,0.02029771318000922,0.3344619397146762,0.7848346525802921,0.04585640040915337,0.03352519150665817,0.036707434543908145,0.02504400735642702
38,0.014280541300676982,0.051488523958428616,0.10825011161893609,0.032938131993933945,0.0955945359833416,0.0789627228254355,0.019210012194203447,0.3344768096433192,0.8064828709657256,0.04446575425234386,0.027599356863315078,0.03757103133947874,0.02903400998006243
40,0.01479356130830186,0.05511969764110811,0.15967977672301228,0.08096740375806001,0.13014580204341294,0.08852929780027367,0.02268804734896838,0.5962617661115118,0.7643531777805448,0.04747738603976217,0.04616913983124834,0.03067484662576687,0.030557072466933843
41,0.02614418639836599,0.0828936276721031,0.3793262036780205,0.19159492649469198,0.39958047666144597,0.13035916315740811,0.036147595258975346,1.5815027938647983,0.6855934079173357,0.06454570161355848,0.0276253316634586,0.05451928060899996,0.05049163241462205
42,0.017131909839838918,0.07471803519188315,0.2035063229459653,0.06616086499482056,0.47665679518857895,0.085920257103334,0.026011847757352352,0.6568710630804028,0.7389324889797777,0.06120798157248522,0.038825074489490706,0.052557013205563795,0.09205854677730317
43f.2,0.03646978412415538,0.15798734919442212,0.24264519804257426,0.16598582787475943,0.2630619424950352,0.13559436429830696,0.05417092009711006,1.996776519574918,0.6701044334736806,0.06095228738246111,0.02841097868990469,0.026106802846949634,0.03541229161437942
44f.1,0.011463954066105689,0.03683959517084521,0.1540416407742873,0.061023373511684645,0.09389947320424545,0.0777574577898319,0.021137906833094758,0.4503109965169397,0.781980917987461,0.03753705560305342,0.024238543331264007,0.03284023345198047,0.02817679449406305
45,0.02256182468757161,0.10983607088863905,0.25509648716518596,0.1495090556040686,0.47422761320050083,0.14817168317346016,0.06966589427148251,2.386560107657586,0.6531628496511739,0.07923737872469569,0.031853969424449506,0.04324496308120949,0.04153564698614768
46,0.026778227798303134,0.11164714272775411,0.227808304962407,0.11231386181140886,0.22191611689025384,0.11348407570050302,0.0387776432470157,1.806629795112551,0.6729288992265808,0.044758180800824145,0.03217351949328516,0.03111238804203657,0.03244148513811691
47,0.02149922906598149,0.05413756326577446,0.14361502497887266,0.07763922285855092,0.2965570126969288,0.08628189754243192,0.07393030390187098,0.4651398801607938,0.7626668559142148,0.057544782227268824,0.04004444819979657,0.03688093401712191,0.033912598711534986
48,0.018130252645280454,0.06501486215569613,0.21016767930632754,0.07168836194111634,0.20945477986589278,0.10295087698277343,0.05699991952601979,0.9133351190792826,0.7397051798488538,0.055160034627943194,0.032005491675909284,0.027183767772167914,0.028745123866102906
49,0.025482042655024933,0.09282486865805863,0.26099428828468646,0.14531898553590675,0.3107779083649574,0.13702107241193093,0.08046142470791613,1.8052966231513026,0.7015517365504583,0.09755816265446043,0.03849585006090794,0.03751228385901372,0.04096757418504043
50f.1,0.023444577907846206,0.07687748884075418,0.26109699969284667,0.12811496864712374,0.48740683647688826,0.11045523756102875,0.05770700708315599,1.0266985765491197,0.6998985897816598,0.05593867153077898,0.02735424391075658,0.02311669069733523,0.0765216948171588
51f.1,0.019484815647610367,0.04728188236960736,0.17242073601640526,0.0793973100198545,0.1107607938916373,0.08329648231214842,0.029196295192609825,0.5247926226113816,0.7605663133536537,0.046066152481730314,0.02460096048184049,0.03139165069712375,0.021807646747693005
52f.1,0.022989589592609192,0.0983689819144657,0.32899617045263535,0.1066022116609037,0.21414497812749503,0.09994407369432538,0.03678964371529415,1.4544115877252113,0.6982274627307091,0.0576382335528512,0.03458057749404093,0.031137314356711947,0.026655791501725905
53,0.0294775944434723,0.13301201222838674,0.26993717683468693,0.1424037494896261,0.6946185720053205,0.14198672970713402,0.0710612002621349,1.9416722707720744,0.6347238734318513,0.11775512118020172,0.024612030070028445,0.038757821444052154,0.05129704303381105
54f.1,0.014165525004955042,0.06510793847851576,0.24290347153655797,0.07238760338693209,0.11326295556024722,0.08035001781849131,0.032666344430804906,0.4259104392198409,0.7797236595711565,0.04010895336696441,0.029357175977723863,0.035397061585397634,0.020562412549274767
55f.3,0.024487302552646445,0.11761139803262093,0.2272940136222856,0.1949015563308552,0.27055746509050654,0.11642516070618565,0.06025711512975073,1.4369527237416129,0.6790797318635308,0.07068800815605845,0.027969857378325497,0.035698929464587435,0.03380836152806411
56f.5,0.027160365715575525,0.12360468725117431,0.2592678735239799,0.20673934749985762,0.2011260249042581,0.11107728417336445,0.05864174993922952,1.186755165262438,0.7201952066747817,0.0632662598346303,0.036566062582840626,0.05251415456566969,0.032141062345958135
57,0.022256867844372457,0.07029514011023996,0.23406139264534853,0.1064959595121529,0.13726564649961268,0.09916303341560441,0.032344513486817925,0.8371069335164742,0.7586099225776902,0.049204214525664314,0.04767159090881209,0.046863426740159975,0.026752947024831733
58f.3,0.018679057097410353,0.06627366152841156,0.18814464652175245,0.1289598948774157,0.083242509349644,0.08831614182926327,0.04154005199901245,0.5007864939579698,0.7747175817675714,0.038914777861499626,0.03676332552304046,0.028796533789835613,0.03027450620366817
59f.3,0.02337136972557755,0.06343285732596118,0.13706013957579213,0.1650750076240735,0.1691686179875098,0.1064236863389862,0.07467359683899283,0.7728953888719466,0.7414127474509077,0.062003827505889314,0.03558516200603739,0.03243568154797421,0.031063613501460727
