,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
1f.2,0.04320753048736231,0.11994445126266924,0.5209862760131773,0.19499243177046424,0.15407252567721466,0.2601438689422822,0.04925661554757604,0.9432070466133436,2.5168801650802197,0.17033905052480536,0.09566101369847346,0.08244861367894256,0.08455379557378441
1af.2,0.05712268533450445,0.43809213255771934,0.9565519969852935,0.647106897997349,0.9017574827154494,0.41237821643076944,0.3080371971157719,5.221617022505233,2.1495123501340134,0.20585890206339888,0.09280603161294249,0.10796755821945786,0.08701539354168557
2f.1,0.0409131798335575,0.1410508292095034,0.5068298335907472,0.23420295559428028,0.2646130292857857,0.287789806676981,0.11533116188173857,1.6943501258480087,2.473067617513362,0.15116587536559303,0.10096064238443914,0.0901040492763047,0.10538166730161347
2f.1b,0.0682764949064922,0.17113552804178622,0.8066983212846953,0.28823825950628296,0.205594896550632,0.25427387930951056,0.09361250630145086,1.5145340269548135,2.428469844973312,0.20340599467027023,0.11181083242495665,0.08923030362215754,0.09960955198773934
3f.1,0.07958050132763314,0.23727593059568144,1.1236507963015536,0.384036338738498,0.8311934225102009,0.2955724408966673,0.12898916183764464,3.123696219724676,2.2728065106906477,0.16016120861931718,0.0834205618921973,0.10941255712719115,0.10563640108437289
3,0.06380885045059417,0.18739896906724907,0.44490240558200106,0.25601742294555807,0.4200103778193835,0.30473833719936727,0.08991682572242672,3.559612856184838,2.27967074482312,0.1762721823721857,0.09710825574172148,0.10479170017205335,0.10729555500742789
4f.1,0.06362107125266264,0.22623924926679925,0.38906083803217756,0.08051310473764875,0.4275023406206911,0.27920651477695285,0.0779166000272928,1.799744797742096,2.509563937643205,0.15080649568763618,0.08722208307585667,0.09733316211065701,0.11412259610682997
4f.1b,0.06917237785921837,0.256863742549071,0.6663509168454622,0.25730196721520887,1.131404285962813,0.37887380374571666,0.19051860663176387,3.5469045998542206,2.17453585588211,0.18172445086866026,0.08520914889256793,0.15092942493513506,0.10226072180842155
7f.1,0.044711821648039864,0.1314888676812839,0.35058871337737924,0.13735641133772247,0.2936782636114619,0.25125147739835735,0.07440668708379967,1.019499726897209,2.531029035202723,0.15078408479000113,0.06933864094912849,0.07499030703066686,0.08386755491385811
7,0.054421351533637786,0.10771944898342971,0.2844965237469965,0.06962940005062584,0.08826500590359142,0.23531202452099845,0.05781626126466454,0.714065878675544,2.53363127949383,0.16908812261381578,0.12494150177879815,0.11905434447524767,0.08671909769078857
8,0.06658953967985871,0.21288671507255472,1.2291739492702656,0.4406381748474123,0.7877924195682992,0.34394864453006097,0.2822057314541197,3.327142473367431,2.4347869606148955,0.19080178348707763,0.10067000737238645,0.12044230554801484,0.1254820632707896
9,0.07705316800714464,0.28774062399744166,1.5351530734759316,0.27801022939505854,4.518597024672635,0.35843182191969797,0.22511755255248564,6.79643375826091,1.771507622557701,0.19416992371327657,0.11904692512970183,0.20892301049283893,1.5016169512032185
10,0.07146010325850498,0.2175389469232377,0.41117051720495956,0.21050854194432195,0.5066164005740043,0.3235288469656324,0.12166763951357579,2.174261822817023,2.498684355701313,0.13466716193418404,0.11535627388536118,0.11252124989674035,0.12844897144307038
11,0.06460114999595491,0.2611584649969653,0.47638053544383113,0.244631395270687,1.0393347180631707,0.42471276060533,0.20498048594409454,5.367965043920461,2.2548737785243946,0.1812822303134424,0.09029263153402516,0.0994723337208797,0.12199072011162432
12f.2,0.07674795976750055,0.3523733608574346,0.7890344796328042,0.31243075986754654,0.7471321827304513,0.3345658820310491,0.15930763025844072,3.1406212581792983,2.3556014733845836,0.1635204667099372,0.0943943100111715,0.12048406395098148,0.10979716083458402
12f.1,0.09006317714256247,0.4061818090010105,0.5866465834869207,0.3900250914406011,0.943808602426634,0.367511445854648,0.18473875303436685,4.121223834881024,2.1740186754233344,0.17058204514310607,0.10576394062927892,0.10361051380244103,0.08349008992845368
13,0.0634907504110354,0.13766669768820594,0.44813026289031127,0.13475756667045818,0.27075599491246755,0.2480848508036302,0.09683739715498017,1.2962210164035006,2.467396362207493,0.14786330531054284,0.07626796233295763,0.09741797387986394,0.06828961019712465
13b,0.06149240260673312,0.2392534582263112,0.7585909606860651,0.24005304412206843,0.8563694206868614,0.34339536625662115,0.17380005851473,2.6441090266761385,2.4584742197603204,0.1528681739307068,0.09686853863789942,0.11759060117248747,0.10723314772891868
14,0.04469788025770763,0.11864663363653805,0.34881962258407767,0.08935135129508967,0.16358876460603644,0.2533836298593257,0.05276740566770361,0.8239557212317591,2.6407378499437884,0.12510077365719066,0.07960907858616308,0.1172494779314509,0.09634002104580706
14b,0.05851744598419769,0.16870378882086404,0.40506120330532136,0.1081712200031419,0.24221431342286495,0.24408757985585328,0.043436295383123213,0.7682990834911196,2.5598088322529016,0.12499050368882665,0.10725128236617372,0.11809982343024016,0.06802227302359636
15,0.082088790302882,0.31455063118546894,0.9555057647396875,0.2613331426328811,0.5320887256829999,0.2905620077311227,0.14658718708360563,2.5051709906701816,2.2936358678256314,0.14120607409660327,0.0850870451352645,0.11067662617010453,0.08298592966685865
